,version,description,id,schemas,documentationLink,rootUrl,discoveryVersion,mtlsRootUrl,ownerDomain,resources,auth,servicePath,kind,parameters,revision,protocol,ownerName,icons,canonicalName,fullyEncodeReservedExpansion,basePath,title,name,version_module,baseUrl,batchPath
Color,v4,Reads and writes Google Sheets.,sheets:v4,"{'type': 'object', 'description': ""Represents a color in the RGBA color space. This representation is designed for simplicity of conversion to/from color representations in various languages over compactness. For example, the fields of this representation can be trivially provided to the constructor of `java.awt.Color` in Java; it can also be trivially provided to UIColor's `+colorWithRed:green:blue:alpha` method in iOS; and, with just a little work, it can be easily formatted into a CSS `rgba()` string in JavaScript. This reference page doesn't carry information about the absolute color space that should be used to interpret the RGB value (e.g. sRGB, Adobe RGB, DCI-P3, BT.2020, etc.). By default, applications should assume the sRGB color space. When color equality needs to be decided, implementations, unless documented otherwise, treat two colors as equal if all their red, green, blue, and alpha values each differ by at most 1e-5. Example (Java): import com.google.type.Color; // ... public static java.awt.Color fromProto(Color protocolor) { float alpha = protocolor.hasAlpha() ? protocolor.getAlpha().getValue() : 1.0; return new java.awt.Color( protocolor.getRed(), protocolor.getGreen(), protocolor.getBlue(), alpha); } public static Color toProto(java.awt.Color color) { float red = (float) color.getRed(); float green = (float) color.getGreen(); float blue = (float) color.getBlue(); float denominator = 255.0; Color.Builder resultBuilder = Color .newBuilder() .setRed(red / denominator) .setGreen(green / denominator) .setBlue(blue / denominator); int alpha = color.getAlpha(); if (alpha != 255) { result.setAlpha( FloatValue .newBuilder() .setValue(((float) alpha) / denominator) .build()); } return resultBuilder.build(); } // ... Example (iOS / Obj-C): // ... static UIColor* fromProto(Color* protocolor) { float red = [protocolor red]; float green = [protocolor green]; float blue = [protocolor blue]; FloatValue* alpha_wrapper = [protocolor alpha]; float alpha = 1.0; if (alpha_wrapper != nil) { alpha = [alpha_wrapper value]; } return [UIColor colorWithRed:red green:green blue:blue alpha:alpha]; } static Color* toProto(UIColor* color) { CGFloat red, green, blue, alpha; if (![color getRed:&red green:&green blue:&blue alpha:&alpha]) { return nil; } Color* result = [[Color alloc] init]; [result setRed:red]; [result setGreen:green]; [result setBlue:blue]; if (alpha <= 0.9999) { [result setAlpha:floatWrapperWithValue(alpha)]; } [result autorelease]; return result; } // ... Example (JavaScript): // ... var protoToCssColor = function(rgb_color) { var redFrac = rgb_color.red || 0.0; var greenFrac = rgb_color.green || 0.0; var blueFrac = rgb_color.blue || 0.0; var red = Math.floor(redFrac * 255); var green = Math.floor(greenFrac * 255); var blue = Math.floor(blueFrac * 255); if (!('alpha' in rgb_color)) { return rgbToCssColor(red, green, blue); } var alphaFrac = rgb_color.alpha.value || 0.0; var rgbParams = [red, green, blue].join(','); return ['rgba(', rgbParams, ',', alphaFrac, ')'].join(''); }; var rgbToCssColor = function(red, green, blue) { var rgbNumber = new Number((red << 16) | (green << 8) | blue); var hexString = rgbNumber.toString(16); var missingZeros = 6 - hexString.length; var resultBuilder = ['#']; for (var i = 0; i < missingZeros; i++) { resultBuilder.push('0'); } resultBuilder.push(hexString); return resultBuilder.join(''); }; // ..."", 'properties': {'alpha': {'format': 'float', 'type': 'number', 'description': 'The fraction of this color that should be applied to the pixel. That is, the final pixel color is defined by the equation: `pixel color = alpha * (this color) + (1.0 - alpha) * (background color)` This means that a value of 1.0 corresponds to a solid color, whereas a value of 0.0 corresponds to a completely transparent color. This uses a wrapper message rather than a simple float scalar so that it is possible to distinguish between a default value and the value being unset. If omitted, this color object is rendered as a solid color (as if the alpha value had been explicitly given a value of 1.0).'}, 'blue': {'format': 'float', 'description': 'The amount of blue in the color as a value in the interval [0, 1].', 'type': 'number'}, 'green': {'description': 'The amount of green in the color as a value in the interval [0, 1].', 'format': 'float', 'type': 'number'}, 'red': {'format': 'float', 'description': 'The amount of red in the color as a value in the interval [0, 1].', 'type': 'number'}}, 'id': 'Color'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
KeyValueFormat,v4,Reads and writes Google Sheets.,sheets:v4,"{'description': 'Formatting options for key value.', 'properties': {'textFormat': {'$ref': 'TextFormat', 'description': 'Text formatting options for key value. The link field is not supported.'}, 'position': {'$ref': 'TextPosition', 'description': 'Specifies the horizontal text positioning of key value. This field is optional. If not specified, default positioning is used.'}}, 'id': 'KeyValueFormat', 'type': 'object'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
FindReplaceResponse,v4,Reads and writes Google Sheets.,sheets:v4,"{'type': 'object', 'properties': {'occurrencesChanged': {'description': 'The number of occurrences (possibly multiple within a cell) changed. For example, if replacing `""e""` with `""o""` in `""Google Sheets""`, this would be `""3""` because `""Google Sheets""` -> `""Googlo Shoots""`.', 'type': 'integer', 'format': 'int32'}, 'formulasChanged': {'format': 'int32', 'description': 'The number of formula cells changed.', 'type': 'integer'}, 'rowsChanged': {'type': 'integer', 'description': 'The number of rows changed.', 'format': 'int32'}, 'valuesChanged': {'format': 'int32', 'description': 'The number of non-formula cells changed.', 'type': 'integer'}, 'sheetsChanged': {'description': 'The number of sheets changed.', 'type': 'integer', 'format': 'int32'}}, 'description': 'The result of the find/replace.', 'id': 'FindReplaceResponse'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
PointStyle,v4,Reads and writes Google Sheets.,sheets:v4,"{'properties': {'shape': {'description': 'The point shape. If empty or unspecified, a default shape is used.', 'enumDescriptions': ['Default value.', 'A circle shape.', 'A diamond shape.', 'A hexagon shape.', 'A pentagon shape.', 'A square shape.', 'A star shape.', 'A triangle shape.', 'An x-mark shape.'], 'type': 'string', 'enum': ['POINT_SHAPE_UNSPECIFIED', 'CIRCLE', 'DIAMOND', 'HEXAGON', 'PENTAGON', 'SQUARE', 'STAR', 'TRIANGLE', 'X_MARK']}, 'size': {'type': 'number', 'format': 'double', 'description': 'The point size. If empty, a default size is used.'}}, 'id': 'PointStyle', 'type': 'object', 'description': 'The style of a point on the chart.'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
UpdateSheetPropertiesRequest,v4,Reads and writes Google Sheets.,sheets:v4,"{'description': 'Updates properties of the sheet with the specified sheetId.', 'type': 'object', 'id': 'UpdateSheetPropertiesRequest', 'properties': {'fields': {'format': 'google-fieldmask', 'type': 'string', 'description': 'The fields that should be updated. At least one field must be specified. The root `properties` is implied and should not be specified. A single `""*""` can be used as short-hand for listing every field.'}, 'properties': {'$ref': 'SheetProperties', 'description': 'The properties to update.'}}}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
DataSourceParameter,v4,Reads and writes Google Sheets.,sheets:v4,"{'properties': {'name': {'type': 'string', 'description': 'Named parameter. Must be a legitimate identifier for the DataSource that supports it. For example, [BigQuery identifier](https://cloud.google.com/bigquery/docs/reference/standard-sql/lexical#identifiers).'}, 'namedRangeId': {'type': 'string', 'description': 'ID of a NamedRange. Its size must be 1x1.'}, 'range': {'$ref': 'GridRange', 'description': 'A range that contains the value of the parameter. Its size must be 1x1.'}}, 'description': ""A parameter in a data source's query. The parameter allows the user to pass in values from the spreadsheet into a query."", 'id': 'DataSourceParameter', 'type': 'object'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
TreemapChartColorScale,v4,Reads and writes Google Sheets.,sheets:v4,"{'description': 'A color scale for a treemap chart.', 'id': 'TreemapChartColorScale', 'properties': {'noDataColorStyle': {'$ref': 'ColorStyle', 'description': 'The background color for cells that have no color data associated with them. Defaults to #000000 if not specified. If no_data_color is also set, this field takes precedence.'}, 'maxValueColor': {'$ref': 'Color', 'description': 'The background color for cells with a color value greater than or equal to maxValue. Defaults to #109618 if not specified.'}, 'midValueColor': {'$ref': 'Color', 'description': 'The background color for cells with a color value at the midpoint between minValue and maxValue. Defaults to #efe6dc if not specified.'}, 'minValueColor': {'$ref': 'Color', 'description': 'The background color for cells with a color value less than or equal to minValue. Defaults to #dc3912 if not specified.'}, 'noDataColor': {'$ref': 'Color', 'description': 'The background color for cells that have no color data associated with them. Defaults to #000000 if not specified.'}, 'midValueColorStyle': {'description': 'The background color for cells with a color value at the midpoint between minValue and maxValue. Defaults to #efe6dc if not specified. If mid_value_color is also set, this field takes precedence.', '$ref': 'ColorStyle'}, 'maxValueColorStyle': {'$ref': 'ColorStyle', 'description': 'The background color for cells with a color value greater than or equal to maxValue. Defaults to #109618 if not specified. If max_value_color is also set, this field takes precedence.'}, 'minValueColorStyle': {'$ref': 'ColorStyle', 'description': 'The background color for cells with a color value less than or equal to minValue. Defaults to #dc3912 if not specified. If min_value_color is also set, this field takes precedence.'}}, 'type': 'object'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
DataSource,v4,Reads and writes Google Sheets.,sheets:v4,"{'description': 'Information about an external data source in the spreadsheet.', 'properties': {'sheetId': {'format': 'int32', 'type': 'integer', 'description': 'The ID of the Sheet connected with the data source. The field cannot be changed once set. When creating a data source, an associated DATA_SOURCE sheet is also created, if the field is not specified, the ID of the created sheet will be randomly generated.'}, 'spec': {'$ref': 'DataSourceSpec', 'description': 'The DataSourceSpec for the data source connected with this spreadsheet.'}, 'calculatedColumns': {'items': {'$ref': 'DataSourceColumn'}, 'description': 'All calculated columns in the data source.', 'type': 'array'}, 'dataSourceId': {'description': 'The spreadsheet-scoped unique ID that identifies the data source. Example: 1080547365.', 'type': 'string'}}, 'id': 'DataSource', 'type': 'object'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
ChartSourceRange,v4,Reads and writes Google Sheets.,sheets:v4,"{'id': 'ChartSourceRange', 'description': 'Source ranges for a chart.', 'type': 'object', 'properties': {'sources': {'type': 'array', 'items': {'$ref': 'GridRange'}, 'description': 'The ranges of data for a series or domain. Exactly one dimension must have a length of 1, and all sources in the list must have the same dimension with length 1. The domain (if it exists) & all series must have the same number of source ranges. If using more than one source range, then the source range at a given offset must be in order and contiguous across the domain and series. For example, these are valid configurations: domain sources: A1:A5 series1 sources: B1:B5 series2 sources: D6:D10 domain sources: A1:A5, C10:C12 series1 sources: B1:B5, D10:D12 series2 sources: C1:C5, E10:E12'}}}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
DataSourceObjectReference,v4,Reads and writes Google Sheets.,sheets:v4,"{'description': 'Reference to a data source object.', 'properties': {'dataSourceFormulaCell': {'description': 'References to a cell containing DataSourceFormula.', '$ref': 'GridCoordinate'}, 'dataSourcePivotTableAnchorCell': {'description': 'References to a data source PivotTable anchored at the cell.', '$ref': 'GridCoordinate'}, 'sheetId': {'description': 'References to a DATA_SOURCE sheet.', 'type': 'string'}, 'dataSourceTableAnchorCell': {'$ref': 'GridCoordinate', 'description': 'References to a DataSourceTable anchored at the cell.'}, 'chartId': {'format': 'int32', 'description': 'References to a data source chart.', 'type': 'integer'}}, 'type': 'object', 'id': 'DataSourceObjectReference'}",https://developers.google.com/sheets/,https://sheets.googleapis.com/,v1,https://sheets.mtls.googleapis.com/,google.com,,,,discovery#restDescription,,20210622,rest,Google,,Sheets,True,,Google Sheets API,sheets,True,https://sheets.googleapis.com/,batch
