id;name;price;description;image;image_content_type
1;bandwidth;83471;Investment Checking;../fake-data/blob/hipster.png;image/png
2;Rupee Caledonia;53308;Public-key engage;../fake-data/blob/hipster.png;image/png
3;AI;40887;Fresh;../fake-data/blob/hipster.png;image/png
4;Account invoice;32505;card;../fake-data/blob/hipster.png;image/png
5;Rubber generating;80053;Prairie Throughway;../fake-data/blob/hipster.png;image/png
6;SDD;34282;deposit;../fake-data/blob/hipster.png;image/png
7;magenta;50463;Organic indexing syndicate;../fake-data/blob/hipster.png;image/png
8;Handmade Krone;66909;Inlet;../fake-data/blob/hipster.png;image/png
9;Stream;99920;Soft;../fake-data/blob/hipster.png;image/png
10;withdrawal;40207;Chips back-end;../fake-data/blob/hipster.png;image/png
