id;date;details;status;paymen_method;payment_date;payment_amount;product_order_id;order_id
1;2022-04-11T11:53:35;RAM systemic;ISSUED;CASH_ON_DELIVERY;2022-04-11T16:19:30;5801;89234;1
2;2022-04-11T04:54:36;Down-sized connect;PAID;SQUARE;2022-04-11T14:58:42;5148;79862;2
3;2022-04-11T09:31:43;Island Unbranded SDR;CANCELLED;SQUARE;2022-04-11T15:47:51;38331;6307;3
4;2022-04-11T20:30:32;Account Borders Home;ISSUED;Credit_Card;2022-04-11T11:13:23;36325;20522;4
5;2022-04-11T10:21:45;Synergized parse intuitive;CANCELLED;CASH_ON_DELIVERY;2022-04-12T00:54:04;70258;97394;5
6;2022-04-11T08:08:09;Account;CANCELLED;STRIPE;2022-04-11T07:23:41;82892;87316;6
7;2022-04-11T15:06:10;Director open Ariary;ISSUED;Bank;2022-04-11T18:20:57;90797;66936;7
8;2022-04-12T02:59:48;HTTP;PAID;Bank;2022-04-11T21:04:43;10665;58385;8
9;2022-04-11T18:41:18;Function-based Cotton Lead;PAID;STRIPE;2022-04-11T15:39:29;72584;98923;9
10;2022-04-11T06:11:21;Towels Groves Chips;CANCELLED;SQUARE;2022-04-11T21:14:35;53788;39958;10
