id;name;description;price;product_size;type;image;image_content_type
1;Steel;Assistant;57374;XXL;Digital;../fake-data/blob/hipster.png;image/png
2;Principal;wireless Computer;89830;XL;Physical;../fake-data/blob/hipster.png;image/png
3;magenta THX;THX;93728;L;Digital;../fake-data/blob/hipster.png;image/png
4;Metal;models partnerships Infrastructure;91058;XXL;Physical;../fake-data/blob/hipster.png;image/png
5;New;green Malagasy;32770;L;Digital;../fake-data/blob/hipster.png;image/png
6;neutral;Bike;78661;S;Digital;../fake-data/blob/hipster.png;image/png
7;CFP orange;Village;95487;M;Physical;../fake-data/blob/hipster.png;image/png
8;indigo JSON Mexico;Steel;15779;L;Digital;../fake-data/blob/hipster.png;image/png
9;homogeneous Crossroad;Chips De-engineered Tunnel;5902;S;Digital;../fake-data/blob/hipster.png;image/png
10;SMS;methodical;83666;XL;Digital;../fake-data/blob/hipster.png;image/png
