id;date;details;sent_date;format;user_id;product_id
1;2022-04-11T17:35:05;Pants;2022-04-11T06:54:34;EMAIL;3405;81146
2;2022-04-11T09:08:56;port;2022-04-11T09:34:19;PARCEL;86437;18722
3;2022-04-12T00:17:37;program next-generation;2022-04-11T18:42:44;EMAIL;97870;11395
4;2022-04-11T13:57:08;reboot payment;2022-04-11T12:34:45;PARCEL;67108;40188
5;2022-04-11T06:09:56;Sports invoice;2022-04-12T01:08:56;SITE;25250;97027
6;2022-04-11T20:15:26;Officer stable Intelligent;2022-04-11T17:32:35;PARCEL;64519;40687
7;2022-04-11T07:20:08;Salad;2022-04-11T11:39:58;PARCEL;49244;268
8;2022-04-11T16:02:37;parallelism deposit Berkshire;2022-04-11T06:43:04;SITE;18345;42331
9;2022-04-11T08:47:29;Usability Jewelery;2022-04-11T15:11:17;SITE;77847;4595
10;2022-04-11T21:33:59;parsing;2022-04-12T03:31:55;EMAIL;31675;99829
